PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
pvRju,r4rk1/ppq1p1bp/4R1p1/4n3/6n1/2N2N2/PP3PPP/R1BQ2K1 w - - 1 15,c3d5 e5f3 d1f3 c7h2,1420,76,95,8955,middlegame,https://lichess.org/1tkfQtoP#29,Sicilian_Defense Sicilian_Defense_Moscow_Variation
jDt5s,r1b2rk1/pp3p1p/4np2/2pN4/2P5/P2P4/BP4PP/R3N2K b - - 1 19,c8d7 d5f6 g8g7 f6d7 f8d8 d7e5,1504,77,92,3044,advantage fork long middlegame,https://lichess.org/1QABFk2t/black#38,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
mpzPk,8/8/4p1k1/3p1pp1/3P3p/4PPP1/2K3P1/8 w - - 0 40,g3h4 g5h4 c2d3 g6g5 d3d2 f5f4,1303,77,94,1597,crushing endgame long pawnEndgame,https://lichess.org/z02CFqXf#79,
IuqLa,r2q1rk1/p2nbppp/4pn2/2P5/PpN1b3/5NP1/1PQ1PPBP/R1BR2K1 w - - 3 13,c2b3 d7c5 d1d8 c5b3,1745,77,93,1790,advantage master opening short,https://lichess.org/mYmWhhyN#25,Catalan_Opening Catalan_Opening_Closed
pr1uY,r2qkb1r/ppp1pppp/8/1N1P4/Q3n3/3n4/PP2KPPP/R1B3NR b kq - 3 10,e4c5 b5d6,777,84,80,218,discoveredCheck doubleCheck mate mateIn1 oneMove opening,https://lichess.org/Trm2OXQT/black#20,Queens_Gambit_Declined Queens_Gambit_Declined_Chigorin_Defense
mK6yv,1k4rr/pp2n3/3pqp2/3N1n2/1PP2P2/4P1Pp/PR3Q1P/5RKB w - - 3 27,b2e2 f5g3 h2g3 h3h2,1983,79,92,4113,advancedPawn advantage kingsideAttack master middlegame sacrifice short,https://lichess.org/NEOcZ3vj#53,
ommSt,r1b1k2r/pppp1pp1/2n1p2p/4P3/1b1Pq3/2N2NP1/PPP1BP1P/R2QK2R b KQkq - 2 9,c6d4 d1d4 e4d4 f3d4,1593,74,94,4412,advantage opening short,https://lichess.org/nRUb5rrU/black#18,Zukertort_Opening Zukertort_Opening_Black_Mustang_Defense
3kfcQ,8/8/5p1k/p1KP1P1p/1p4pP/1P6/6n1/8 b - - 0 50,a5a4 d5d6 g2h4 d6d7 a4b3 d7d8q,2312,79,84,99,advancedPawn advantage endgame knightEndgame long promotion,https://lichess.org/4gslNQqE/black#100,
slCg6,r7/B3k1p1/1PK4p/3PbP2/P7/8/6P1/8 b - - 4 47,e7d8 d5d6 a8c8 c6d5 c8c5 d5c5,1860,86,86,38,crushing defensiveMove endgame long,https://lichess.org/9xNB0oMb/black#94,
KvMJy,r4rk1/pp3pb1/nq4pp/2pQN3/4N3/2P3P1/PP3PP1/1K1R3R b - - 2 19,a8d8 e5d7 d8d7 d5d7,1895,74,88,95,crushing fork master middlegame short,https://lichess.org/qiiICM6A/black#38,Queens_Pawn_Game Queens_Pawn_Game_Mason_Variation
